序号,用户名,密码,邮箱,手机号,姓名,身份证号,地址,性别,年龄,职业,收入范围,注册时间,状态
1,member_2025_9620,MSOo@IJzLh3j,member_2025_9620@sina.com,18989878948,陈丽,460700196912260296,河南省郑州市光明路914号34栋136室,female,30,学生,20000-50000,2026-04-03T04:50:27.660Z,成功
2,gold_super_3637,Z7SGssnXprXH,gold_super_3637@outlook.com,15797818134,赵杰,143023198807279837,浙江省杭州市建设路327号43栋343室,female,41,公务员,50000以上,2026-04-03T04:50:28.300Z,成功
3,test_ultra_1819,ToMWT2au6#&r,test_ultra_1819@126.com,18526189909,何建国,225394199405148023,湖南省长沙市东风路84号25栋395室,female,19,运营专员,5000-10000,2026-04-03T04:50:28.738Z,成功
4,vip_ultra_183,uH0t&6S#2VUg,vip_ultra_183@sohu.com,13013586121,李静,363670198203017500,福建省福州市朝阳路15号31栋479室,male,19,护士,50000以上,2026-04-03T04:50:29.232Z,成功
5,demo_2024_1782,612Pmh#lzt3*,demo_2024_1782@126.com,18507225844,高霞,414478199011146105,天津市市辖区发展路945号32栋289室,male,25,学生,50000以上,2026-04-03T04:50:29.685Z,成功
6,silver_2026_4553,#sg$z6$wbPEJ,silver_2026_4553@sina.com,13644290295,李桂英,316357198307141473,湖北省武汉市前进路375号33栋256室,male,41,市场专员,10000-20000,2026-04-03T04:50:30.135Z,成功
7,bronze_lite_7681,gQiBfKfzzVS$,bronze_lite_7681@outlook.com,13650451383,孙霞,222921200306144980,河北省石家庄市文化路104号24栋367室,female,41,自由职业,5000-10000,2026-04-03T04:50:30.553Z,成功
8,star_ultra_2497,LqLc@hYTeL1S,star_ultra_2497@163.com,15290120751,李国华,647079197401206178,江西省南昌市繁荣路575号19栋497室,female,28,公务员,5000以下,2026-04-03T04:50:30.983Z,成功
9,gold_pro_9003,1DsezZRjIDfA,gold_pro_9003@outlook.com,13048175866,李国栋,518157197301228379,辽宁省沈阳市科技路18号48栋40室,female,45,教师,5000以下,2026-04-03T04:50:31.399Z,成功
10,gold_2025_6647,*2dgtvER4Oym,gold_2025_6647@126.com,15204470397,周娜,122149200211096807,浙江省杭州市建设路275号30栋401室,male,27,教师,50000以上,2026-04-03T04:50:31.819Z,成功
